table_name,column_name,data_type,total_count,null_count,not_null_count,nan_count,percent_null,distinct_count,unique_count,not_unique_count,percent_distinct,min_value,max_value,mean,median,std_dev,q1_25,q2_50_median,q3_75,zero_count,percent_zeros,min_length,max_length,avg_length,min_size,max_size,avg_size,most_frequent_value,highest_frequency,lowest_frequency,top_10_values,top_10_frequencies
olist_orders_dataset,order_delivered_customer_date,object,99441,2965,96476,2965,2.981667521444877,95664,94860,4581,96.20176788246296,,,,,,,,,0,0.0,19,19,19.0,19.0,19.0,19.0,2018-05-08 23:38:46,3,1,"['2018-05-08 23:38:46', '2016-10-27 17:32:07', '2018-02-14 21:09:19', '2017-06-19 18:47:51', '2018-05-08 19:36:48', '2017-12-02 00:26:45', '2018-05-14 20:02:44', '2018-07-24 21:36:42', '2018-02-08 22:23:05', '2018-06-20 16:56:57']","[np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(2)]"
olist_orders_dataset,order_estimated_delivery_date,object,99441,0,99441,0,0.0,459,21,99420,0.4615802335052946,,,,,,,,,0,0.0,19,19,19.0,19.0,19.0,19.0,2017-12-20 00:00:00,522,1,"['2017-12-20 00:00:00', '2018-03-12 00:00:00', '2018-05-29 00:00:00', '2018-03-13 00:00:00', '2018-02-14 00:00:00', '2017-12-18 00:00:00', '2018-05-28 00:00:00', '2018-03-06 00:00:00', '2018-02-06 00:00:00', '2018-04-12 00:00:00']","[np.int64(522), np.int64(516), np.int64(513), np.int64(513), np.int64(507), np.int64(493), np.int64(492), np.int64(492), np.int64(491), np.int64(490)]"
olist_products_dataset,product_id,object,32951,0,32951,0,0.0,32951,32951,0,100.0,,,,,,,,,0,0.0,32,32,32.0,32.0,32.0,32.0,1e9e8ef04dbcff4541ed26657ea517e5,1,1,"['1e9e8ef04dbcff4541ed26657ea517e5', 'd05cc9afc85771f597cf4bc9d8f12546', '71b7afd92c42feab780d5ea512fc7348', '5c5f3e091101bea69642eb3dd145b17d', '16d47089f9bc7f16de16cc4bd3b9dd49', 'b8be700cb8f91067761b685ac5d1664f', '2db85e45ff15b96518baa00fdacdc6c6', 'bf348f19164cdedd0ae1cf7b1d72fede', '97de49733ccaac64d122444d8db709d1', '7ce94ab189134e2d3c05f496d635419c']","[np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]"
olist_products_dataset,product_category_name,object,32951,610,32341,610,1.8512336499650999,73,1,32950,0.22154107614336438,,,,,,,,,0,0.0,3,46,14.958659286973193,3.0,46.0,14.958659286973193,cama_mesa_banho,3029,1,"['cama_mesa_banho', 'esporte_lazer', 'moveis_decoracao', 'beleza_saude', 'utilidades_domesticas', 'automotivo', 'informatica_acessorios', 'brinquedos', 'relogios_presentes', 'telefonia']","[np.int64(3029), np.int64(2867), np.int64(2657), np.int64(2444), np.int64(2335), np.int64(1900), np.int64(1639), np.int64(1411), np.int64(1329), np.int64(1134)]"
olist_products_dataset,product_name_lenght,float64,32951,610,32341,610,1.8512336499650999,66,7,32944,0.2002974113076993,5.0,76.0,48.47694876472589,51.0,10.245740725237479,42.0,51.0,57.0,0,0.0,3,4,3.999536192449213,,,,60.0,2182,1,"[60.0, 59.0, 58.0, 57.0, 55.0, 56.0, 54.0, 53.0, 52.0, 50.0]","[np.int64(2182), np.int64(2025), np.int64(1887), np.int64(1719), np.int64(1683), np.int64(1675), np.int64(1439), np.int64(1330), np.int64(1259), np.int64(1039)]"
olist_products_dataset,product_description_lenght,float64,32951,610,32341,610,1.8512336499650999,2960,669,32282,8.98303541622409,4.0,3992.0,771.4952846232337,595.0,635.1152246349546,339.0,595.0,972.0,0,0.0,3,6,5.22281314739804,,,,404.0,94,1,"[404.0, 729.0, 651.0, 703.0, 236.0, 184.0, 303.0, 352.0, 375.0, 246.0]","[np.int64(94), np.int64(86), np.int64(66), np.int64(66), np.int64(65), np.int64(65), np.int64(63), np.int64(62), np.int64(60), np.int64(58)]"
olist_products_dataset,product_photos_qty,float64,32951,610,32341,610,1.8512336499650999,19,2,32949,0.0576613759825195,1.0,20.0,2.1889861166939797,1.0,1.7367656379315015,1.0,1.0,3.0,0,0.0,3,4,3.006462385207631,,,,1.0,16489,1,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","[np.int64(16489), np.int64(6263), np.int64(3860), np.int64(2428), np.int64(1484), np.int64(968), np.int64(343), np.int64(192), np.int64(105), np.int64(95)]"
olist_products_dataset,product_weight_g,float64,32951,2,32949,2,0.006069618524475737,2204,1035,31916,6.688719613972262,0.0,40425.0,2276.4724877841513,700.0,4282.038730977634,300.0,700.0,1900.0,4,0.012139237048951474,3,7,5.450575131263467,,,,200.0,2084,1,"[200.0, 300.0, 150.0, 400.0, 100.0, 500.0, 250.0, 600.0, 350.0, 700.0]","[np.int64(2084), np.int64(1561), np.int64(1259), np.int64(1206), np.int64(1188), np.int64(1112), np.int64(1001), np.int64(957), np.int64(832), np.int64(748)]"
olist_products_dataset,product_length_cm,float64,32951,2,32949,2,0.006069618524475737,99,1,32950,0.30044611696154894,7.0,105.0,30.81507784758263,25.0,16.91445805406699,18.0,25.0,38.0,0,0.0,3,5,4.009954778597226,,,,16.0,5520,1,"[16.0, 20.0, 30.0, 18.0, 25.0, 17.0, 19.0, 40.0, 22.0, 35.0]","[np.int64(5520), np.int64(2816), np.int64(2029), np.int64(1502), np.int64(1387), np.int64(1310), np.int64(1270), np.int64(1224), np.int64(972), np.int64(968)]"
olist_products_dataset,product_height_cm,float64,32951,2,32949,2,0.006069618524475737,102,3,32948,0.3095505447482626,2.0,105.0,16.937661234028347,13.0,13.637554061749832,8.0,13.0,21.0,0,0.0,3,5,3.70250993960363,,,,10.0,2548,1,"[10.0, 15.0, 20.0, 16.0, 11.0, 5.0, 12.0, 8.0, 2.0, 7.0]","[np.int64(2548), np.int64(2022), np.int64(1991), np.int64(1595), np.int64(1551), np.int64(1529), np.int64(1522), np.int64(1467), np.int64(1357), np.int64(1235)]"
